ISO3,Year,Indicator
HRV,1990,UNDP-HDI
SVK,1990,UNDP-HDI
SVN,1990,UNDP-HDI
HRV,1991,UNDP-HDI
SVK,1991,UNDP-HDI
SVN,1991,UNDP-HDI
HRV,1992,UNDP-HDI
SVK,1992,UNDP-HDI
SVN,1992,UNDP-HDI
HRV,1993,UNDP-HDI
SVK,1993,UNDP-HDI
SVN,1993,UNDP-HDI
HRV,1994,UNDP-HDI
SVK,1994,UNDP-HDI
SVN,1994,UNDP-HDI
HRV,1990,UNDP-HDI-GDI
LTU,1990,UNDP-HDI-GDI
LUX,1990,UNDP-HDI-GDI
LVA,1990,UNDP-HDI-GDI
SVK,1990,UNDP-HDI-GDI
SVN,1990,UNDP-HDI-GDI
HRV,1991,UNDP-HDI-GDI
LTU,1991,UNDP-HDI-GDI
LUX,1991,UNDP-HDI-GDI
LVA,1991,UNDP-HDI-GDI
SVK,1991,UNDP-HDI-GDI
SVN,1991,UNDP-HDI-GDI
HRV,1992,UNDP-HDI-GDI
LTU,1992,UNDP-HDI-GDI
LUX,1992,UNDP-HDI-GDI
LVA,1992,UNDP-HDI-GDI
SVK,1992,UNDP-HDI-GDI
SVN,1992,UNDP-HDI-GDI
HRV,1993,UNDP-HDI-GDI
LTU,1993,UNDP-HDI-GDI
LUX,1993,UNDP-HDI-GDI
LVA,1993,UNDP-HDI-GDI
SVK,1993,UNDP-HDI-GDI
SVN,1993,UNDP-HDI-GDI
HRV,1994,UNDP-HDI-GDI
LTU,1994,UNDP-HDI-GDI
LUX,1994,UNDP-HDI-GDI
LVA,1994,UNDP-HDI-GDI
SVK,1994,UNDP-HDI-GDI
SVN,1994,UNDP-HDI-GDI
LUX,1995,UNDP-HDI-GDI
LUX,1996,UNDP-HDI-GDI
LUX,1997,UNDP-HDI-GDI
LUX,1998,UNDP-HDI-GDI
LUX,1999,UNDP-HDI-GDI
LUX,1990,UNDP-HDI-GDI-EYS-F
LUX,1991,UNDP-HDI-GDI-EYS-F
LUX,1992,UNDP-HDI-GDI-EYS-F
LUX,1993,UNDP-HDI-GDI-EYS-F
LUX,1994,UNDP-HDI-GDI-EYS-F
LUX,1995,UNDP-HDI-GDI-EYS-F
LUX,1996,UNDP-HDI-GDI-EYS-F
LUX,1997,UNDP-HDI-GDI-EYS-F
LUX,1998,UNDP-HDI-GDI-EYS-F
LUX,1999,UNDP-HDI-GDI-EYS-F
LUX,1990,UNDP-HDI-GDI-EYS-M
LUX,1991,UNDP-HDI-GDI-EYS-M
LUX,1992,UNDP-HDI-GDI-EYS-M
LUX,1993,UNDP-HDI-GDI-EYS-M
LUX,1994,UNDP-HDI-GDI-EYS-M
LUX,1995,UNDP-HDI-GDI-EYS-M
