ISO3,Year,Indicator
MLT,1960,Control of Corruption: Estimate
MLT,1961,Control of Corruption: Estimate
MLT,1962,Control of Corruption: Estimate
MLT,1963,Control of Corruption: Estimate
MLT,1964,Control of Corruption: Estimate
MLT,1965,Control of Corruption: Estimate
MLT,1966,Control of Corruption: Estimate
MLT,1967,Control of Corruption: Estimate
MLT,1968,Control of Corruption: Estimate
MLT,1969,Control of Corruption: Estimate
MLT,1970,Control of Corruption: Estimate
MLT,1971,Control of Corruption: Estimate
MLT,1972,Control of Corruption: Estimate
MLT,1973,Control of Corruption: Estimate
MLT,1974,Control of Corruption: Estimate
MLT,1975,Control of Corruption: Estimate
MLT,1976,Control of Corruption: Estimate
MLT,1977,Control of Corruption: Estimate
MLT,1978,Control of Corruption: Estimate
MLT,1979,Control of Corruption: Estimate
MLT,1980,Control of Corruption: Estimate
MLT,1981,Control of Corruption: Estimate
MLT,1982,Control of Corruption: Estimate
MLT,1983,Control of Corruption: Estimate
MLT,1984,Control of Corruption: Estimate
MLT,1985,Control of Corruption: Estimate
MLT,1986,Control of Corruption: Estimate
MLT,1987,Control of Corruption: Estimate
MLT,1988,Control of Corruption: Estimate
MLT,1989,Control of Corruption: Estimate
MLT,1990,Control of Corruption: Estimate
MLT,1991,Control of Corruption: Estimate
MLT,1992,Control of Corruption: Estimate
MLT,1993,Control of Corruption: Estimate
MLT,1994,Control of Corruption: Estimate
MLT,1995,Control of Corruption: Estimate
MLT,1996,Control of Corruption: Estimate
MLT,1997,Control of Corruption: Estimate
MLT,1998,Control of Corruption: Estimate
MLT,1999,Control of Corruption: Estimate
MLT,2000,Control of Corruption: Estimate
MLT,2001,Control of Corruption: Estimate
MLT,2002,Control of Corruption: Estimate
MLT,2003,Control of Corruption: Estimate
MLT,2004,Control of Corruption: Estimate
MLT,2005,Control of Corruption: Estimate
MLT,2006,Control of Corruption: Estimate
MLT,2007,Control of Corruption: Estimate
MLT,2008,Control of Corruption: Estimate
MLT,2009,Control of Corruption: Estimate
MLT,2010,Control of Corruption: Estimate
MLT,2011,Control of Corruption: Estimate
MLT,2012,Control of Corruption: Estimate
MLT,2013,Control of Corruption: Estimate
MLT,2014,Control of Corruption: Estimate
MLT,2015,Control of Corruption: Estimate
MLT,2016,Control of Corruption: Estimate
MLT,2017,Control of Corruption: Estimate
MLT,2018,Control of Corruption: Estimate
MLT,2019,Control of Corruption: Estimate
MLT,2020,Control of Corruption: Estimate
MLT,2021,Control of Corruption: Estimate
MLT,2022,Control of Corruption: Estimate
MLT,2023,Control of Corruption: Estimate
MLT,1960,Government Effectiveness: Estimate
MLT,1961,Government Effectiveness: Estimate
MLT,1962,Government Effectiveness: Estimate
MLT,1963,Government Effectiveness: Estimate
MLT,1964,Government Effectiveness: Estimate
MLT,1965,Government Effectiveness: Estimate
MLT,1966,Government Effectiveness: Estimate
MLT,1967,Government Effectiveness: Estimate
MLT,1968,Government Effectiveness: Estimate
MLT,1969,Government Effectiveness: Estimate
MLT,1970,Government Effectiveness: Estimate
MLT,1971,Government Effectiveness: Estimate
MLT,1972,Government Effectiveness: Estimate
MLT,1973,Government Effectiveness: Estimate
MLT,1974,Government Effectiveness: Estimate
MLT,1975,Government Effectiveness: Estimate
MLT,1976,Government Effectiveness: Estimate
MLT,1977,Government Effectiveness: Estimate
MLT,1978,Government Effectiveness: Estimate
MLT,1979,Government Effectiveness: Estimate
MLT,1980,Government Effectiveness: Estimate
MLT,1981,Government Effectiveness: Estimate
MLT,1982,Government Effectiveness: Estimate
MLT,1983,Government Effectiveness: Estimate
MLT,1984,Government Effectiveness: Estimate
MLT,1985,Government Effectiveness: Estimate
MLT,1986,Government Effectiveness: Estimate
MLT,1987,Government Effectiveness: Estimate
MLT,1988,Government Effectiveness: Estimate
MLT,1989,Government Effectiveness: Estimate
MLT,1990,Government Effectiveness: Estimate
MLT,1991,Government Effectiveness: Estimate
MLT,1992,Government Effectiveness: Estimate
MLT,1993,Government Effectiveness: Estimate
MLT,1994,Government Effectiveness: Estimate
MLT,1995,Government Effectiveness: Estimate
MLT,1996,Government Effectiveness: Estimate
MLT,1997,Government Effectiveness: Estimate
MLT,1998,Government Effectiveness: Estimate
MLT,1999,Government Effectiveness: Estimate
MLT,2000,Government Effectiveness: Estimate
MLT,2001,Government Effectiveness: Estimate
MLT,2002,Government Effectiveness: Estimate
MLT,2003,Government Effectiveness: Estimate
MLT,2004,Government Effectiveness: Estimate
MLT,2005,Government Effectiveness: Estimate
MLT,2006,Government Effectiveness: Estimate
MLT,2007,Government Effectiveness: Estimate
MLT,2008,Government Effectiveness: Estimate
MLT,2009,Government Effectiveness: Estimate
MLT,2010,Government Effectiveness: Estimate
MLT,2011,Government Effectiveness: Estimate
MLT,2012,Government Effectiveness: Estimate
MLT,2013,Government Effectiveness: Estimate
MLT,2014,Government Effectiveness: Estimate
MLT,2015,Government Effectiveness: Estimate
MLT,2016,Government Effectiveness: Estimate
MLT,2017,Government Effectiveness: Estimate
MLT,2018,Government Effectiveness: Estimate
MLT,2019,Government Effectiveness: Estimate
MLT,2020,Government Effectiveness: Estimate
MLT,2021,Government Effectiveness: Estimate
MLT,2022,Government Effectiveness: Estimate
MLT,2023,Government Effectiveness: Estimate
MLT,1960,Rule of Law: Estimate
MLT,1961,Rule of Law: Estimate
MLT,1962,Rule of Law: Estimate
MLT,1963,Rule of Law: Estimate
MLT,1964,Rule of Law: Estimate
MLT,1965,Rule of Law: Estimate
MLT,1966,Rule of Law: Estimate
MLT,1967,Rule of Law: Estimate
MLT,1968,Rule of Law: Estimate
MLT,1969,Rule of Law: Estimate
MLT,1970,Rule of Law: Estimate
MLT,1971,Rule of Law: Estimate
MLT,1972,Rule of Law: Estimate
MLT,1973,Rule of Law: Estimate
MLT,1974,Rule of Law: Estimate
MLT,1975,Rule of Law: Estimate
MLT,1976,Rule of Law: Estimate
MLT,1977,Rule of Law: Estimate
MLT,1978,Rule of Law: Estimate
MLT,1979,Rule of Law: Estimate
MLT,1980,Rule of Law: Estimate
MLT,1981,Rule of Law: Estimate
MLT,1982,Rule of Law: Estimate
MLT,1983,Rule of Law: Estimate
MLT,1984,Rule of Law: Estimate
MLT,1985,Rule of Law: Estimate
MLT,1986,Rule of Law: Estimate
MLT,1987,Rule of Law: Estimate
MLT,1988,Rule of Law: Estimate
MLT,1989,Rule of Law: Estimate
MLT,1990,Rule of Law: Estimate
MLT,1991,Rule of Law: Estimate
MLT,1992,Rule of Law: Estimate
MLT,1993,Rule of Law: Estimate
MLT,1994,Rule of Law: Estimate
MLT,1995,Rule of Law: Estimate
MLT,1996,Rule of Law: Estimate
MLT,1997,Rule of Law: Estimate
MLT,1998,Rule of Law: Estimate
MLT,1999,Rule of Law: Estimate
MLT,2000,Rule of Law: Estimate
MLT,2001,Rule of Law: Estimate
MLT,2002,Rule of Law: Estimate
MLT,2003,Rule of Law: Estimate
MLT,2004,Rule of Law: Estimate
MLT,2005,Rule of Law: Estimate
MLT,2006,Rule of Law: Estimate
MLT,2007,Rule of Law: Estimate
MLT,2008,Rule of Law: Estimate
MLT,2009,Rule of Law: Estimate
MLT,2010,Rule of Law: Estimate
MLT,2011,Rule of Law: Estimate
MLT,2012,Rule of Law: Estimate
MLT,2013,Rule of Law: Estimate
MLT,2014,Rule of Law: Estimate
MLT,2015,Rule of Law: Estimate
MLT,2016,Rule of Law: Estimate
MLT,2017,Rule of Law: Estimate
MLT,2018,Rule of Law: Estimate
MLT,2019,Rule of Law: Estimate
MLT,2020,Rule of Law: Estimate
MLT,2021,Rule of Law: Estimate
MLT,2022,Rule of Law: Estimate
MLT,2023,Rule of Law: Estimate
MLT,1960,Political Stability and Absence of Violence/Terrorism: Estimate
MLT,1961,Political Stability and Absence of Violence/Terrorism: Estimate
MLT,1962,Political Stability and Absence of Violence/Terrorism: Estimate
MLT,1963,Political Stability and Absence of Violence/Terrorism: Estimate
MLT,1964,Political Stability and Absence of Violence/Terrorism: Estimate
