ISO3,Year,Indicator
AUT,1990,CC.EST
BEL,1990,CC.EST
BGR,1990,CC.EST
CYP,1990,CC.EST
CZE,1990,CC.EST
DEU,1990,CC.EST
DNK,1990,CC.EST
ESP,1990,CC.EST
EST,1990,CC.EST
FIN,1990,CC.EST
FRA,1990,CC.EST
GRC,1990,CC.EST
HRV,1990,CC.EST
HUN,1990,CC.EST
IRL,1990,CC.EST
ITA,1990,CC.EST
LTU,1990,CC.EST
LUX,1990,CC.EST
LVA,1990,CC.EST
MLT,1990,CC.EST
NLD,1990,CC.EST
POL,1990,CC.EST
PRT,1990,CC.EST
ROU,1990,CC.EST
SVK,1990,CC.EST
SVN,1990,CC.EST
SWE,1990,CC.EST
AUT,1991,CC.EST
BEL,1991,CC.EST
BGR,1991,CC.EST
CYP,1991,CC.EST
CZE,1991,CC.EST
DEU,1991,CC.EST
DNK,1991,CC.EST
ESP,1991,CC.EST
EST,1991,CC.EST
FIN,1991,CC.EST
FRA,1991,CC.EST
GRC,1991,CC.EST
HRV,1991,CC.EST
HUN,1991,CC.EST
IRL,1991,CC.EST
ITA,1991,CC.EST
LTU,1991,CC.EST
LUX,1991,CC.EST
LVA,1991,CC.EST
MLT,1991,CC.EST
NLD,1991,CC.EST
POL,1991,CC.EST
PRT,1991,CC.EST
ROU,1991,CC.EST
SVK,1991,CC.EST
SVN,1991,CC.EST
SWE,1991,CC.EST
AUT,1992,CC.EST
BEL,1992,CC.EST
BGR,1992,CC.EST
CYP,1992,CC.EST
CZE,1992,CC.EST
DEU,1992,CC.EST
DNK,1992,CC.EST
ESP,1992,CC.EST
EST,1992,CC.EST
FIN,1992,CC.EST
FRA,1992,CC.EST
GRC,1992,CC.EST
HRV,1992,CC.EST
HUN,1992,CC.EST
IRL,1992,CC.EST
ITA,1992,CC.EST
LTU,1992,CC.EST
LUX,1992,CC.EST
LVA,1992,CC.EST
MLT,1992,CC.EST
NLD,1992,CC.EST
POL,1992,CC.EST
PRT,1992,CC.EST
ROU,1992,CC.EST
SVK,1992,CC.EST
SVN,1992,CC.EST
SWE,1992,CC.EST
AUT,1993,CC.EST
BEL,1993,CC.EST
BGR,1993,CC.EST
CYP,1993,CC.EST
CZE,1993,CC.EST
DEU,1993,CC.EST
DNK,1993,CC.EST
ESP,1993,CC.EST
EST,1993,CC.EST
FIN,1993,CC.EST
FRA,1993,CC.EST
GRC,1993,CC.EST
HRV,1993,CC.EST
HUN,1993,CC.EST
IRL,1993,CC.EST
ITA,1993,CC.EST
LTU,1993,CC.EST
LUX,1993,CC.EST
LVA,1993,CC.EST
MLT,1993,CC.EST
NLD,1993,CC.EST
POL,1993,CC.EST
PRT,1993,CC.EST
ROU,1993,CC.EST
SVK,1993,CC.EST
SVN,1993,CC.EST
SWE,1993,CC.EST
AUT,1994,CC.EST
BEL,1994,CC.EST
BGR,1994,CC.EST
CYP,1994,CC.EST
CZE,1994,CC.EST
DEU,1994,CC.EST
DNK,1994,CC.EST
ESP,1994,CC.EST
EST,1994,CC.EST
FIN,1994,CC.EST
FRA,1994,CC.EST
GRC,1994,CC.EST
HRV,1994,CC.EST
HUN,1994,CC.EST
IRL,1994,CC.EST
ITA,1994,CC.EST
LTU,1994,CC.EST
LUX,1994,CC.EST
LVA,1994,CC.EST
MLT,1994,CC.EST
NLD,1994,CC.EST
POL,1994,CC.EST
PRT,1994,CC.EST
ROU,1994,CC.EST
SVK,1994,CC.EST
SVN,1994,CC.EST
SWE,1994,CC.EST
AUT,1995,CC.EST
BEL,1995,CC.EST
BGR,1995,CC.EST
CYP,1995,CC.EST
CZE,1995,CC.EST
DEU,1995,CC.EST
DNK,1995,CC.EST
ESP,1995,CC.EST
EST,1995,CC.EST
FIN,1995,CC.EST
FRA,1995,CC.EST
GRC,1995,CC.EST
HRV,1995,CC.EST
HUN,1995,CC.EST
IRL,1995,CC.EST
ITA,1995,CC.EST
LTU,1995,CC.EST
LUX,1995,CC.EST
