ISO3,Year,Indicator
AUT,2005,WHR-LS
AUT,2007,WHR-LS
AUT,2009,WHR-LS
BEL,2006,WHR-LS
BEL,2009,WHR-LS
BGR,2005,WHR-LS
BGR,2006,WHR-LS
BGR,2008,WHR-LS
BGR,2009,WHR-LS
CYP,2005,WHR-LS
CYP,2007,WHR-LS
CYP,2008,WHR-LS
CZE,2006,WHR-LS
CZE,2008,WHR-LS
CZE,2009,WHR-LS
CZE,2019,WHR-LS
DEU,2006,WHR-LS
DNK,2006,WHR-LS
ESP,2006,WHR-LS
EST,2005,WHR-LS
EST,2010,WHR-LS
FIN,2005,WHR-LS
FIN,2007,WHR-LS
FIN,2009,WHR-LS
FRA,2007,WHR-LS
GRC,2006,WHR-LS
GRC,2008,WHR-LS
HRV,2005,WHR-LS
HRV,2006,WHR-LS
HRV,2008,WHR-LS
HUN,2006,WHR-LS
HUN,2008,WHR-LS
IRL,2005,WHR-LS
IRL,2007,WHR-LS
ITA,2006,WHR-LS
LTU,2005,WHR-LS
LUX,2005,WHR-LS
LUX,2006,WHR-LS
LUX,2007,WHR-LS
LUX,2008,WHR-LS
LUX,2020,WHR-LS
LUX,2021,WHR-LS
LVA,2005,WHR-LS
LVA,2010,WHR-LS
MLT,2005,WHR-LS
MLT,2006,WHR-LS
MLT,2007,WHR-LS
MLT,2008,WHR-LS
NLD,2006,WHR-LS
NLD,2009,WHR-LS
POL,2006,WHR-LS
POL,2008,WHR-LS
PRT,2005,WHR-LS
PRT,2007,WHR-LS
PRT,2009,WHR-LS
ROU,2006,WHR-LS
ROU,2008,WHR-LS
SVK,2005,WHR-LS
SVK,2007,WHR-LS
SVK,2008,WHR-LS
SVK,2009,WHR-LS
SVN,2005,WHR-LS
SVN,2007,WHR-LS
SVN,2008,WHR-LS
SWE,2006,WHR-LS
AUT,2005,WHR-LS-COR
AUT,2007,WHR-LS-COR
AUT,2009,WHR-LS-COR
BEL,2006,WHR-LS-COR
BEL,2009,WHR-LS-COR
BGR,2005,WHR-LS-COR
BGR,2006,WHR-LS-COR
BGR,2008,WHR-LS-COR
BGR,2009,WHR-LS-COR
CYP,2005,WHR-LS-COR
CYP,2007,WHR-LS-COR
CYP,2008,WHR-LS-COR
CZE,2006,WHR-LS-COR
CZE,2008,WHR-LS-COR
CZE,2009,WHR-LS-COR
CZE,2019,WHR-LS-COR
DEU,2006,WHR-LS-COR
DNK,2006,WHR-LS-COR
ESP,2006,WHR-LS-COR
EST,2005,WHR-LS-COR
EST,2010,WHR-LS-COR
FIN,2005,WHR-LS-COR
FIN,2007,WHR-LS-COR
FIN,2009,WHR-LS-COR
FRA,2007,WHR-LS-COR
GRC,2006,WHR-LS-COR
GRC,2008,WHR-LS-COR
HRV,2005,WHR-LS-COR
HRV,2006,WHR-LS-COR
HRV,2008,WHR-LS-COR
HUN,2006,WHR-LS-COR
HUN,2008,WHR-LS-COR
IRL,2005,WHR-LS-COR
IRL,2007,WHR-LS-COR
ITA,2006,WHR-LS-COR
LTU,2005,WHR-LS-COR
LUX,2005,WHR-LS-COR
LUX,2006,WHR-LS-COR
LUX,2007,WHR-LS-COR
LUX,2008,WHR-LS-COR
LUX,2020,WHR-LS-COR
LUX,2021,WHR-LS-COR
LVA,2005,WHR-LS-COR
LVA,2010,WHR-LS-COR
MLT,2005,WHR-LS-COR
MLT,2006,WHR-LS-COR
MLT,2007,WHR-LS-COR
MLT,2008,WHR-LS-COR
MLT,2009,WHR-LS-COR
MLT,2010,WHR-LS-COR
MLT,2011,WHR-LS-COR
MLT,2012,WHR-LS-COR
MLT,2013,WHR-LS-COR
NLD,2006,WHR-LS-COR
NLD,2009,WHR-LS-COR
POL,2006,WHR-LS-COR
POL,2008,WHR-LS-COR
PRT,2005,WHR-LS-COR
PRT,2007,WHR-LS-COR
PRT,2009,WHR-LS-COR
ROU,2006,WHR-LS-COR
ROU,2008,WHR-LS-COR
SVK,2005,WHR-LS-COR
SVK,2007,WHR-LS-COR
SVK,2008,WHR-LS-COR
SVK,2009,WHR-LS-COR
SVN,2005,WHR-LS-COR
SVN,2007,WHR-LS-COR
