Percentile ,Year ,"anninc_992_i_US
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023)
USA","anninc_992_i_QY
National income
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023)
European Union","agdpro_992_i_US
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023)
USA","agdpro_992_i_QY
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2023)
European Union"
pall,1820,3023.261,,,
pall,1821,,,,
pall,1822,,,,
pall,1823,,,,
pall,1824,,,,
pall,1825,,,,
pall,1826,,,,
pall,1827,,,,
pall,1828,,,,
pall,1829,,,,
pall,1830,,,,
pall,1831,,,,
pall,1832,,,,
pall,1833,,,,
pall,1834,,,,
pall,1835,,,,
pall,1836,,,,
pall,1837,,,,
pall,1838,,,,
pall,1839,,,,
pall,1840,,,,
pall,1841,,,,
pall,1842,,,,
pall,1843,,,,
pall,1844,,,,
pall,1845,,,,
pall,1846,,,,
pall,1847,,,,
pall,1848,,,,
pall,1849,,,,
pall,1850,4134.2231,,,
pall,1851,,,,
pall,1852,,,,
pall,1853,,,,
pall,1854,,,,
pall,1855,,,,
pall,1856,,,,
pall,1857,,,,
pall,1858,,,,
pall,1859,,,,
pall,1860,,,,
pall,1861,,,,
pall,1862,,,,
pall,1863,,,,
pall,1864,,,,
pall,1865,,,,
pall,1866,,,,
pall,1867,,,,
pall,1868,,,,
pall,1869,,,,
pall,1870,4043.1135,,,
pall,1871,4112.0975,,,
pall,1872,4143.8488,,,
pall,1873,4239.3702,,,
pall,1874,4097.9932,,,
pall,1875,4208.2873,,,
pall,1876,4153.4076,,,
pall,1877,4203.7418,,,
pall,1878,4275.8006,,,
pall,1879,4690.7737,,,
pall,1880,4790.3726,,,
pall,1881,5159.2896,,,
pall,1882,5270.4527,,,
pall,1883,5260.5596,,,
pall,1884,5225.3324,,,
pall,1885,5128.541,,,
pall,1886,5153.2736,,,
pall,1887,5160.6934,,,
pall,1888,5014.1694,,,
pall,1889,5207.3511,,,
pall,1890,5165.573,,,
pall,1891,5207.1506,,,
pall,1892,5369.0489,,,
pall,1893,5252.7388,,,
pall,1894,4987.9662,,,
pall,1895,5459.089,,,
pall,1896,5228.073,,,
pall,1897,5489.8376,,,
pall,1898,5504.4098,,,
pall,1899,6021.6556,,,
pall,1900,5832.8856,,,
pall,1901,6022.9925,,,
pall,1902,6198.3267,,,
pall,1903,6374.5967,,,
pall,1904,6538.8346,,,
pall,1905,6687.4308,,,
pall,1906,6831.8826,,,
pall,1907,6975.5323,,,
pall,1908,7102.2034,,,
pall,1909,7217.7114,,,
pall,1910,7317.6445,,,
pall,1911,7939.0346,,,
pall,1912,8549.6628,,,
pall,1913,9792.7773,,,
pall,1914,8847.5905,,,
pall,1915,9023.3257,,,
pall,1916,10289.4349,,,
pall,1917,10128.4724,,,
pall,1918,10716.3732,,,
pall,1919,10154.4082,,,
pall,1920,9934.0206,,,
pall,1921,8956.4139,,,
pall,1922,9721.1196,,,
pall,1923,10939.702,,,
pall,1924,10799.5283,,,
pall,1925,10994.3143,,,
pall,1926,11508.3516,,,
pall,1927,11296.6538,,,
pall,1928,11418.7794,,,
pall,1929,11988.0305,,,
pall,1930,10798.0577,,,
pall,1931,9613.6998,,,
pall,1932,8111.2939,,,
pall,1933,7842.778,,,
pall,1934,8778.8739,,,
pall,1935,9656.4805,,,
pall,1936,10660.892,,,
pall,1937,11305.6778,,,
pall,1938,10461.4268,,,
pall,1939,11184.9559,,,
pall,1940,12118.9128,,,
pall,1941,14358.8853,,,
pall,1942,16947.2534,,,
pall,1943,19563.6295,,,
pall,1944,20199.4581,,,
pall,1945,19470.0466,,,
pall,1946,17062.494,,,
pall,1947,16459.2188,,,
pall,1948,17197.5207,,,
pall,1949,16609.8203,,,
pall,1950,18071.5845,8521.8,,9468.7
pall,1951,19295.9156,8970.9,,9984.5
pall,1952,19788.2283,9232.3,,10305.1
pall,1953,20401.1292,9724.7,,10834.6
pall,1954,19993.5758,10208.1,,11361
pall,1955,21411.4898,10765.1,,11970.3
pall,1956,21748.1875,11136.5,,12405
pall,1957,21768.642,11547.6,,12869.6
pall,1958,21198.3214,11770.4,,13144.3
pall,1959,22496.984,12258.2,,13693.2
pall,1960,22676.4626,12988.8,26020.8464,14493.7
pall,1961,22980.0721,13582.1,26350.2581,15166.8
pall,1962,24187.7588,14086.5,27637.2897,15754.6
pall,1963,24992.7719,14623.9,28516.768,16392.5
pall,1964,26103.3999,15356.2,29731.7408,17229.1
pall,1965,27458.1454,15932.5,31238.8259,17885.6
pall,1966,28901.5941,16481.3,32866.7665,18525.2
pall,1967,29193.6394,16903,33293.9722,19025.6
pall,1968,30001.2595,17701.7,34224.1189,19905.9
pall,1969,30361.6871,18624.5,34712.9557,20895.4
pall,1970,29904.5349,20420.4,34036.7527,22986.9
pall,1971,30154.2006,20970,34324.1857,23704.4
pall,1972,31155.4703,21760.7,35391.164,24616.9
pall,1973,32386.6196,22907.7,36700.5886,25890.7
pall,1974,31386.8205,23228.7,35859.613,26430.6
pall,1975,30415.7647,22935.1,35123.4502,26267.7
pall,1976,31603.3311,23886.7,36357.6743,27335.1
pall,1977,32475.5233,24401,37337.8879,28022.7
pall,1978,33616.833,25043.9,38654.9997,28773.6
pall,1979,33942.4345,25779.4,39102.0584,29642.4
pall,1980,32903.1301,25824,38207.2726,29811.9
pall,1981,33154.6674,25529.1,38491.3634,29572.1
pall,1982,31638.1573,25498.8,37178.1286,29592.1
pall,1983,32756.7398,25781.7,38293.8367,29946.5
pall,1984,34823.3166,26280,40441.4964,30463.5
pall,1985,35635.8163,26712,41487.7527,30946.1
pall,1986,36211.1503,27214.6,42332.7391,31506.1
pall,1987,36982.3399,27667.6,43290.5596,32118.1
pall,1988,38159.7459,28599.3,44635.0778,33145.3
pall,1989,39256.069,29273.6,45823.3795,33887.3
pall,1990,39510.347,29537.1,46084.2752,34294.7
pall,1991,38663.0879,29451.8,45369.7701,34187.4
pall,1992,39712.6197,29291.7,46336.7483,34079
pall,1993,40362.7531,28935.4,47037.0155,33748.6
pall,1994,41577.1912,29598.3,48392.0284,34478.8
pall,1995,42170.6402,30138.3,49127.3891,35154.7
pall,1996,43360.8804,30636.2,50414.6881,35694.4
pall,1997,44704.396,31434.6,52011.4121,36531.5
pall,1998,46129.9302,32297.3,53688.0826,37470.3
pall,1999,47738.419,33069.9,55567.5606,38361.9
pall,2000,49008.6725,34093.4,57147.1723,39632.9
pall,2001,48740.6913,34615.3,57089.8194,40273
pall,2002,48939.7554,34777.9,57375.2471,40521
pall,2003,49818.3648,34974.9,58299.5783,40786.9
pall,2004,51261.5461,35639.7,59872.4387,41607.8
pall,2005,52358.0029,36244.1,61261.6094,42211.5
pall,2006,52920.9706,37317.9,62223.3737,43399.6
pall,2007,53536.211,38136.4,62730.4591,44499.6
pall,2008,52905.3958,37928.1,62117.0235,44545.3
pall,2009,50469.1667,35894.7,59857.5992,42407.5
pall,2010,51740.824,36708.3,60820.7004,43094.2
pall,2011,52284.4067,37239.4,61280.9276,43694.9
pall,2012,52709.7407,36797.8,61815.4862,43375
pall,2013,53349.3127,36786.8,62611.2078,43314
pall,2014,53879.9275,37188.5,63388.1461,43992.6
pall,2015,54981.8656,37827.6,64702.6509,44869
pall,2016,55315.1543,38522.7,65066.0198,45620.4
pall,2017,56494.0309,39574.7,66248.1049,46827.7
pall,2018,57576.4503,40371.3,67580.19,47678.8
pall,2019,58310.8083,40934.7,68639.1469,48424.8
pall,2020,55730.729,37680.6,66578.7198,45261.1
pall,2021,58809.4044,40583.2,70147.9699,48077.8
pall,2022,59574.511,41891.4,70999.1728,49592.3
pall,2023,60476.7166,41838.7,72128.1831,49561.5
