Downloaded from https://doi.org/10.6084/m9.figshare.26970415.v1 on 06-03-2025 ,,,,
ISO3,Acronym,Year,Value,Unit
AFG,UNDP-HDI-POP-TOTAL,1990,10.694796,Millions
AFG,UNDP-HDI-POP-TOTAL,1991,10.745167,Millions
AFG,UNDP-HDI-POP-TOTAL,1992,12.057433,Millions
AFG,UNDP-HDI-POP-TOTAL,1993,14.00376,Millions
AFG,UNDP-HDI-POP-TOTAL,1994,15.4555545,Millions
AFG,UNDP-HDI-POP-TOTAL,1995,16.418912,Millions
AFG,UNDP-HDI-POP-TOTAL,1996,17.1065955,Millions
AFG,UNDP-HDI-POP-TOTAL,1997,17.788819,Millions
AFG,UNDP-HDI-POP-TOTAL,1998,18.493132,Millions
AFG,UNDP-HDI-POP-TOTAL,1999,19.2628475,Millions
AFG,UNDP-HDI-POP-TOTAL,2000,19.5429825,Millions
AFG,UNDP-HDI-POP-TOTAL,2001,19.6886325,Millions
AFG,UNDP-HDI-POP-TOTAL,2002,21.0002565,Millions
AFG,UNDP-HDI-POP-TOTAL,2003,22.64513,Millions
AFG,UNDP-HDI-POP-TOTAL,2004,23.5535505,Millions
AFG,UNDP-HDI-POP-TOTAL,2005,24.4111905,Millions
AFG,UNDP-HDI-POP-TOTAL,2006,25.442944,Millions
AFG,UNDP-HDI-POP-TOTAL,2007,25.9033005,Millions
AFG,UNDP-HDI-POP-TOTAL,2008,26.427199,Millions
AFG,UNDP-HDI-POP-TOTAL,2009,27.3853075,Millions
AFG,UNDP-HDI-POP-TOTAL,2010,28.189672,Millions
AFG,UNDP-HDI-POP-TOTAL,2011,29.249157,Millions
AFG,UNDP-HDI-POP-TOTAL,2012,30.4664785,Millions
AFG,UNDP-HDI-POP-TOTAL,2013,31.5412085,Millions
AFG,UNDP-HDI-POP-TOTAL,2014,32.71621,Millions
AFG,UNDP-HDI-POP-TOTAL,2015,33.753499,Millions
AFG,UNDP-HDI-POP-TOTAL,2016,34.6362075,Millions
AFG,UNDP-HDI-POP-TOTAL,2017,35.6434175,Millions
AFG,UNDP-HDI-POP-TOTAL,2018,36.686784,Millions
