"Downloaded from https://doi.org/10.6084/m9.figshare.26970415.v1 on 06-03-2025 ,,,,",,,,
ISO3,Acronym,Year,Value,Unit
AFG,WHR-LS,2008,3.723589897,Index(0-10)
AFG,WHR-LS,2009,4.401778221,Index(0-10)
AFG,WHR-LS,2010,4.75838089,Index(0-10)
AFG,WHR-LS,2011,3.83171916,Index(0-10)
AFG,WHR-LS,2012,3.782937527,Index(0-10)
AFG,WHR-LS,2013,3.572100401,Index(0-10)
AFG,WHR-LS,2014,3.130895615,Index(0-10)
AFG,WHR-LS,2015,3.982854605,Index(0-10)
AFG,WHR-LS,2016,4.220168591,Index(0-10)
AFG,WHR-LS,2017,2.66171813,Index(0-10)
AFG,WHR-LS,2018,2.694303274,Index(0-10)
AFG,WHR-LS,2019,2.375091791,Index(0-10)
AFG,WHR-LS,2021,2.436034441,Index(0-10)
AFG,WHR-LS,2022,1.2812711,Index(0-10)
AFG,WHR-LS,2023,1.445908546,Index(0-10)
ALB,WHR-LS,2007,4.634251595,Index(0-10)
ALB,WHR-LS,2009,5.485469818,Index(0-10)
ALB,WHR-LS,2010,5.268936634,Index(0-10)
ALB,WHR-LS,2011,5.867421627,Index(0-10)
ALB,WHR-LS,2012,5.510124207,Index(0-10)
ALB,WHR-LS,2013,4.550647736,Index(0-10)
ALB,WHR-LS,2014,4.813763142,Index(0-10)
ALB,WHR-LS,2015,4.606650829,Index(0-10)
ALB,WHR-LS,2016,4.511100769,Index(0-10)
ALB,WHR-LS,2017,4.639548302,Index(0-10)
ALB,WHR-LS,2018,5.004402637,Index(0-10)
ALB,WHR-LS,2019,4.995317936,Index(0-10)
ALB,WHR-LS,2020,5.364909649,Index(0-10)
ALB,WHR-LS,2021,5.25548172,Index(0-10)
ALB,WHR-LS,2022,5.212213039,Index(0-10)
ALB,WHR-LS,2023,5.444690704,Index(0-10)
DZA,WHR-LS,2010,5.46356678,Index(0-10)
DZA,WHR-LS,2011,5.317194462,Index(0-10)
DZA,WHR-LS,2012,5.604595661,Index(0-10)
DZA,WHR-LS,2014,6.354898453,Index(0-10)
DZA,WHR-LS,2016,5.340853691,Index(0-10)
DZA,WHR-LS,2017,5.248912334,Index(0-10)
DZA,WHR-LS,2018,5.043086052,Index(0-10)
DZA,WHR-LS,2019,4.744627476,Index(0-10)
DZA,WHR-LS,2020,5.437755108,Index(0-10)
DZA,WHR-LS,2021,5.217017651,Index(0-10)
DZA,WHR-LS,2022,5.538172245,Index(0-10)
AGO,WHR-LS,2011,5.589000702,Index(0-10)
AGO,WHR-LS,2012,4.360249996,Index(0-10)
AGO,WHR-LS,2013,3.937106848,Index(0-10)
AGO,WHR-LS,2014,3.794837952,Index(0-10)
ARG,WHR-LS,2006,6.312925339,Index(0-10)
ARG,WHR-LS,2007,6.073158264,Index(0-10)
ARG,WHR-LS,2008,5.961034298,Index(0-10)
ARG,WHR-LS,2009,6.424133301,Index(0-10)
ARG,WHR-LS,2010,6.441067219,Index(0-10)
ARG,WHR-LS,2011,6.775805473,Index(0-10)
ARG,WHR-LS,2012,6.468387127,Index(0-10)
ARG,WHR-LS,2013,6.582260132,Index(0-10)
ARG,WHR-LS,2014,6.671114445,Index(0-10)
ARG,WHR-LS,2015,6.69713068,Index(0-10)
ARG,WHR-LS,2016,6.427221298,Index(0-10)
ARG,WHR-LS,2017,6.039330006,Index(0-10)
ARG,WHR-LS,2018,5.792796612,Index(0-10)
ARG,WHR-LS,2019,6.085560799,Index(0-10)
ARG,WHR-LS,2020,5.900567055,Index(0-10)
ARG,WHR-LS,2021,5.908278942,Index(0-10)
ARG,WHR-LS,2022,6.260993481,Index(0-10)
ARG,WHR-LS,2023,6.393228531,Index(0-10)
ARM,WHR-LS,2006,4.289310932,Index(0-10)
ARM,WHR-LS,2007,4.881515503,Index(0-10)
ARM,WHR-LS,2008,4.651972294,Index(0-10)
ARM,WHR-LS,2009,4.177581787,Index(0-10)
ARM,WHR-LS,2010,4.367811203,Index(0-10)
ARM,WHR-LS,2011,4.260491371,Index(0-10)
ARM,WHR-LS,2012,4.319711685,Index(0-10)
ARM,WHR-LS,2013,4.277191162,Index(0-10)
ARM,WHR-LS,2014,4.453083038,Index(0-10)
ARM,WHR-LS,2015,4.34831953,Index(0-10)
ARM,WHR-LS,2016,4.325471878,Index(0-10)
ARM,WHR-LS,2017,4.287736416,Index(0-10)
ARM,WHR-LS,2018,5.062448502,Index(0-10)
ARM,WHR-LS,2019,5.4880867,Index(0-10)
ARM,WHR-LS,2021,5.300568581,Index(0-10)
ARM,WHR-LS,2022,5.381942749,Index(0-10)
ARM,WHR-LS,2023,5.679090023,Index(0-10)
AUS,WHR-LS,2005,7.340688229,Index(0-10)
AUS,WHR-LS,2007,7.285390854,Index(0-10)
